date,zone,crop_type,soil_moisture_%,temperature_C,humidity_%,rainfall_mm,irrigation_applied_mm,growth_stage,month,quarter,season,ET0,water_supply,WSI,IES,drought_risk_score
2021-01-17,Zone_A,Rice,55.11,20.6,63.0,4.08,17.1,Sowing,1,1,Winter,34.05,13.12,6.15,100.0,6.67
2021-01-18,Zone_C,Wheat,62.94,20.7,30.7,7.4,19.27,Sowing,1,1,Winter,32.58,16.74,4.86,100.0,5.39
2021-01-19,Zone_C,Sugarcane,46.94,13.6,63.8,2.13,16.84,Sowing,1,1,Winter,23.59,11.6,5.08,100.0,6.78
2021-01-20,Zone_A,Wheat,63.59,12.8,35.2,5.98,23.41,Sowing,1,1,Winter,20.96,18.23,1.3,100.0,3.56
2021-01-21,Zone_C,Cotton,56.08,14.9,58.7,7.78,17.47,Sowing,1,1,Winter,25.29,15.93,3.7,100.0,5.36
2021-01-22,Zone_A,Sugarcane,36.26,12.9,39.7,5.36,22.63,Flowering,1,1,Winter,21.34,17.33,1.88,100.0,6.04
2021-01-23,Zone_B,Wheat,62.21,18.1,42.3,7.62,22.02,Flowering,1,1,Winter,29.26,18.55,3.66,100.0,4.85
2021-01-24,Zone_B,Rice,49.53,19.9,37.6,2.31,16.16,Harvesting,1,1,Winter,31.73,11.31,6.44,100.0,7.26
2021-01-25,Zone_C,Rice,48.81,18.1,50.5,4.51,13.45,Flowering,1,1,Winter,29.68,11.23,6.22,100.0,7.21
2021-01-26,Zone_B,Sugarcane,51.99,19.9,42.2,3.56,16.09,Vegetative,1,1,Winter,31.96,12.15,6.2,100.0,6.94
2021-01-27,Zone_B,Rice,39.48,14.8,53.0,6.38,22.39,Harvesting,1,1,Winter,24.85,17.9,2.8,100.0,6.24
2021-01-28,Zone_D,Sugarcane,49.07,11.9,30.5,7.89,13.41,Flowering,1,1,Winter,19.38,13.57,3.0,100.0,5.57
2021-01-29,Zone_A,Sugarcane,59.93,18.9,32.3,3.54,17.87,Harvesting,1,1,Winter,29.96,13.2,5.59,100.0,6.0
2021-01-30,Zone_A,Sugarcane,35.46,14.3,33.5,5.93,22.09,Harvesting,1,1,Winter,23.13,17.4,2.48,100.0,6.4
2021-01-31,Zone_C,Wheat,43.19,18.1,44.7,3.19,15.3,Sowing,1,1,Winter,29.38,11.41,6.12,100.0,7.6
2021-02-01,Zone_A,Sugarcane,35.07,13.2,58.5,5.39,19.63,Harvesting,2,1,Winter,22.72,15.55,3.16,100.0,6.77
2021-02-02,Zone_D,Rice,47.47,11.0,61.1,4.78,13.68,Flowering,2,1,Winter,19.56,11.55,4.1,100.0,6.25
2021-02-03,Zone_C,Cotton,56.85,21.9,38.6,7.83,11.64,Sowing,2,1,Winter,34.78,12.46,6.42,100.0,6.66
2021-02-04,Zone_C,Wheat,58.96,11.9,50.1,5.65,21.92,Flowering,2,1,Winter,20.36,17.11,1.6,100.0,4.08
2021-02-05,Zone_A,Rice,63.36,21.9,56.9,4.1,11.48,Sowing,2,1,Winter,35.69,9.76,7.27,100.0,6.57
2021-02-06,Zone_B,Sugarcane,53.26,21.7,40.1,2.68,14.07,Flowering,2,1,Winter,34.56,10.32,7.01,100.0,7.24
2021-02-07,Zone_B,Sugarcane,42.64,19.5,44.3,2.91,22.83,Sowing,2,1,Winter,31.46,15.74,5.0,100.0,7.09
2021-02-08,Zone_B,Cotton,62.72,17.9,48.3,3.35,15.2,Sowing,2,1,Winter,29.26,11.46,6.08,100.0,6.02
2021-02-09,Zone_B,Rice,58.26,16.9,34.7,3.51,24.6,Vegetative,2,1,Winter,27.08,17.22,3.64,100.0,5.16
2021-02-10,Zone_D,Wheat,52.23,20.4,30.9,7.1,24.7,Flowering,2,1,Winter,32.14,19.79,3.84,100.0,5.74
2021-02-11,Zone_C,Rice,55.87,13.5,35.3,5.37,14.02,Harvesting,2,1,Winter,22.02,12.17,4.47,100.0,5.77
2021-02-12,Zone_B,Sugarcane,62.73,15.6,51.9,5.14,10.61,Sowing,2,1,Winter,25.99,9.96,6.17,100.0,6.07
2021-02-13,Zone_D,Wheat,56.37,17.4,32.6,2.69,20.58,Flowering,2,1,Winter,27.73,14.23,4.87,100.0,5.93
2021-02-14,Zone_C,Sugarcane,46.05,14.9,36.6,7.16,16.76,Sowing,2,1,Winter,24.18,15.07,3.77,100.0,6.2
2021-02-15,Zone_A,Sugarcane,56.39,15.1,41.8,6.34,11.51,Vegetative,2,1,Winter,24.74,11.34,5.42,100.0,6.2
2021-02-16,Zone_A,Rice,36.21,14.0,32.7,2.41,20.61,Vegetative,2,1,Winter,22.64,14.05,3.79,100.0,7.0
2021-02-17,Zone_D,Cotton,46.59,16.8,36.7,6.25,10.47,Vegetative,2,1,Winter,27.04,10.66,6.06,100.0,7.3
2021-02-18,Zone_C,Sugarcane,47.19,20.2,61.9,5.26,23.05,Vegetative,2,1,Winter,33.39,17.51,4.76,100.0,6.6
2021-02-19,Zone_B,Rice,40.01,12.4,30.7,2.49,12.08,Harvesting,2,1,Winter,20.14,8.99,5.54,100.0,7.57
2021-02-20,Zone_C,Wheat,35.69,21.2,52.9,4.75,11.91,Harvesting,2,1,Winter,34.44,10.47,6.96,100.0,8.62
2021-02-21,Zone_B,Cotton,39.0,18.3,43.5,4.91,12.64,Sowing,2,1,Winter,29.63,11.02,6.28,100.0,8.02
2021-02-22,Zone_D,Sugarcane,54.64,19.9,53.5,2.99,24.4,Flowering,2,1,Winter,32.52,16.73,4.86,100.0,6.06
2021-02-23,Zone_B,Sugarcane,59.07,16.7,50.6,7.67,20.4,Vegetative,2,1,Winter,27.58,17.61,3.61,100.0,5.08
2021-02-24,Zone_D,Wheat,64.65,19.4,37.8,7.1,22.02,Vegetative,2,1,Winter,30.99,18.18,4.13,100.0,4.89
2021-02-25,Zone_C,Rice,45.39,10.2,59.7,6.01,15.96,Harvesting,2,1,Winter,18.28,13.78,2.46,100.0,5.6
2021-02-26,Zone_C,Sugarcane,52.98,19.8,47.2,4.77,15.04,Harvesting,2,1,Winter,32.06,12.36,6.14,100.0,6.83
2021-02-27,Zone_B,Wheat,63.11,10.5,58.8,4.47,13.52,Vegetative,2,1,Winter,18.69,11.24,3.99,100.0,4.95
2021-02-28,Zone_C,Sugarcane,40.01,20.7,44.2,5.91,17.21,Flowering,2,1,Winter,33.26,14.46,5.65,100.0,7.62
2021-03-01,Zone_B,Rice,19.02,44.5,64.5,0.98,38.22,Sowing,3,1,Summer,69.97,23.62,6.62,100.0,15.64
2021-03-02,Zone_C,Cotton,33.45,38.0,57.0,1.17,38.87,Sowing,3,1,Summer,59.85,24.14,5.97,100.0,12.21
2021-03-03,Zone_A,Rice,32.05,35.9,63.8,0.81,30.4,Sowing,3,1,Summer,57.04,18.81,6.7,100.0,12.06
2021-03-04,Zone_B,Rice,30.5,41.0,48.0,2.49,33.54,Sowing,3,1,Summer,63.9,21.87,6.58,100.0,13.65
2021-03-05,Zone_D,Rice,22.85,41.2,46.6,1.07,35.57,Flowering,3,1,Summer,64.13,22.09,6.56,100.0,14.31
2021-03-06,Zone_A,Wheat,25.09,41.5,56.4,0.84,22.62,Flowering,3,1,Summer,65.07,14.16,7.82,100.0,14.85
2021-03-07,Zone_D,Sugarcane,24.29,37.7,60.8,1.63,32.02,Flowering,3,1,Summer,59.59,20.35,6.58,100.0,13.16
2021-03-08,Zone_C,Cotton,20.07,35.2,63.7,0.42,20.69,Harvesting,3,1,Summer,55.99,12.71,7.73,100.0,13.32
2021-03-09,Zone_A,Wheat,25.1,44.7,41.4,2.41,29.95,Vegetative,3,1,Summer,69.12,19.66,7.16,100.0,15.48
2021-03-10,Zone_C,Rice,15.61,37.5,58.0,0.22,23.1,Flowering,3,1,Summer,59.15,14.01,7.63,100.0,14.32
2021-03-11,Zone_B,Cotton,17.64,41.8,37.4,2.96,23.66,Sowing,3,1,Summer,64.57,16.27,7.48,100.0,15.37
2021-03-12,Zone_D,Rice,32.73,42.1,49.1,2.32,27.3,Flowering,3,1,Summer,65.6,18.0,7.26,100.0,14.14
2021-03-13,Zone_C,Rice,30.03,41.1,36.3,0.6,28.65,Vegetative,3,1,Summer,63.46,17.61,7.23,100.0,14.04
2021-03-14,Zone_D,Rice,23.46,38.1,42.2,0.02,32.46,Harvesting,3,1,Summer,59.26,19.49,6.71,100.0,13.41
2021-03-15,Zone_D,Cotton,25.34,37.7,62.6,2.45,21.49,Sowing,3,1,Summer,59.68,14.61,7.55,100.0,13.56
2021-03-16,Zone_C,Sugarcane,22.4,41.0,35.1,2.12,30.07,Harvesting,3,1,Summer,63.26,19.53,6.91,100.0,14.46
2021-03-17,Zone_B,Rice,29.82,43.7,52.1,2.19,23.65,Flowering,3,1,Summer,68.16,15.72,7.69,100.0,15.07
2021-03-18,Zone_D,Sugarcane,30.68,44.5,50.8,2.31,31.48,Sowing,3,1,Summer,69.29,20.5,7.04,100.0,14.92
2021-03-19,Zone_C,Cotton,30.27,36.1,34.2,0.22,32.75,Sowing,3,1,Summer,55.86,19.8,6.46,100.0,12.14
2021-03-20,Zone_B,Cotton,29.45,36.5,41.4,1.08,31.13,Flowering,3,1,Summer,56.82,19.43,6.58,100.0,12.38
2021-03-21,Zone_C,Rice,19.09,44.4,49.7,0.35,34.77,Flowering,3,1,Summer,69.08,21.11,6.94,100.0,15.76
2021-03-22,Zone_B,Sugarcane,21.76,42.4,36.6,2.59,26.71,Vegetative,3,1,Summer,65.43,17.84,7.27,100.0,15.11
2021-03-23,Zone_D,Sugarcane,24.4,43.8,58.0,1.87,35.3,Flowering,3,1,Summer,68.6,22.49,6.72,100.0,15.05
2021-03-24,Zone_A,Rice,21.62,37.0,64.0,0.99,28.66,Flowering,3,1,Summer,58.7,17.89,6.95,100.0,13.35
2021-03-25,Zone_C,Wheat,30.1,40.9,37.5,0.19,29.68,Flowering,3,1,Summer,63.22,17.94,7.16,100.0,13.94
2021-03-26,Zone_D,Wheat,21.59,42.0,36.5,0.93,32.96,Sowing,3,1,Summer,64.82,20.43,6.85,100.0,14.8
2021-03-27,Zone_C,Cotton,17.76,41.8,45.9,0.98,20.37,Vegetative,3,1,Summer,64.99,12.91,8.01,100.0,15.62
2021-03-28,Zone_C,Cotton,22.98,39.1,56.2,2.19,33.08,Sowing,3,1,Summer,61.46,21.38,6.52,100.0,13.65
2021-03-29,Zone_B,Wheat,34.6,35.2,39.9,1.91,32.37,Flowering,3,1,Summer,54.8,20.76,6.21,100.0,11.4
2021-03-30,Zone_C,Wheat,19.52,40.8,30.7,2.66,26.2,Vegetative,3,1,Summer,62.74,17.58,7.2,100.0,14.78
2021-03-31,Zone_B,Wheat,27.24,37.5,48.9,1.42,21.72,Flowering,3,1,Summer,58.7,14.03,7.61,100.0,13.38
2021-04-01,Zone_D,Rice,23.66,39.5,63.5,0.36,21.82,Sowing,4,2,Summer,62.42,13.34,7.86,100.0,14.39
2021-04-02,Zone_C,Rice,16.42,44.6,43.7,2.14,38.46,Sowing,4,2,Summer,69.09,24.57,6.44,100.0,15.79
2021-04-03,Zone_D,Rice,24.76,39.0,44.7,2.28,33.79,Flowering,4,2,Summer,60.74,21.87,6.4,100.0,13.42
2021-04-04,Zone_A,Rice,29.04,43.4,63.9,1.68,22.54,Vegetative,4,2,Summer,68.29,14.7,7.85,100.0,15.12
2021-04-05,Zone_D,Rice,25.26,36.9,54.3,2.31,27.13,Sowing,4,2,Summer,58.06,17.9,6.92,100.0,13.01
2021-04-06,Zone_C,Rice,32.44,41.7,55.2,1.48,31.85,Flowering,4,2,Summer,65.31,20.15,6.91,100.0,13.87
2021-04-07,Zone_A,Cotton,20.78,44.8,49.7,1.57,36.71,Harvesting,4,2,Summer,69.68,23.12,6.68,100.0,15.62
2021-04-08,Zone_B,Sugarcane,16.72,36.0,64.1,1.28,20.87,Flowering,4,2,Summer,57.2,13.42,7.65,100.0,13.79
2021-04-09,Zone_A,Cotton,33.73,35.1,54.1,0.08,24.73,Flowering,4,2,Summer,55.36,14.89,7.31,100.0,11.99
2021-04-10,Zone_C,Sugarcane,22.56,39.3,61.3,0.32,37.79,Vegetative,4,2,Summer,62.01,22.9,6.31,100.0,13.64
2021-04-11,Zone_C,Cotton,26.53,35.9,54.5,0.09,20.18,Flowering,4,2,Summer,56.58,12.17,7.85,100.0,13.07
2021-04-12,Zone_D,Cotton,30.84,42.5,55.7,1.91,24.03,Harvesting,4,2,Summer,66.54,15.76,7.63,100.0,14.6
2021-04-13,Zone_B,Rice,21.49,44.1,40.2,0.94,39.18,Flowering,4,2,Summer,68.16,24.17,6.45,100.0,15.24
2021-04-14,Zone_C,Rice,29.32,39.3,40.6,1.53,32.27,Harvesting,4,2,Summer,60.98,20.43,6.65,100.0,13.27
2021-04-15,Zone_C,Sugarcane,17.71,37.6,57.4,2.72,25.23,Sowing,4,2,Summer,59.27,17.04,7.13,100.0,13.93
2021-04-16,Zone_B,Sugarcane,20.83,39.3,40.4,0.75,21.34,Flowering,4,2,Summer,60.97,13.33,7.81,100.0,14.53
2021-04-17,Zone_B,Rice,17.89,42.2,49.7,1.23,20.56,Vegetative,4,2,Summer,65.79,13.2,7.99,100.0,15.72
2021-04-18,Zone_D,Cotton,31.22,35.1,38.7,2.27,24.89,Flowering,4,2,Summer,54.59,16.52,6.97,100.0,12.02
2021-04-19,Zone_A,Sugarcane,19.45,40.9,58.6,0.69,37.63,Harvesting,4,2,Summer,64.28,23.06,6.41,100.0,14.42
2021-04-20,Zone_B,Wheat,29.35,41.1,33.9,0.23,28.32,Harvesting,4,2,Summer,63.35,17.15,7.29,100.0,14.13
2021-04-21,Zone_C,Wheat,33.87,41.4,59.0,0.87,34.41,Vegetative,4,2,Summer,65.05,21.25,6.73,100.0,13.58
2021-04-22,Zone_B,Wheat,25.56,37.4,51.1,0.48,38.37,Harvesting,4,2,Summer,58.65,23.36,6.02,100.0,12.69
2021-04-23,Zone_C,Sugarcane,25.8,42.1,36.5,2.79,28.16,Flowering,4,2,Summer,64.98,18.85,7.1,100.0,14.62
2021-04-24,Zone_D,Rice,24.22,35.9,49.0,2.42,23.83,Harvesting,4,2,Summer,56.3,15.99,7.16,100.0,12.91
2021-04-25,Zone_A,Rice,21.52,37.0,39.9,1.9,30.34,Flowering,4,2,Summer,57.5,19.53,6.6,100.0,13.18
2021-04-26,Zone_D,Rice,24.51,43.8,41.3,2.61,38.16,Flowering,4,2,Summer,67.76,24.72,6.35,100.0,14.85
2021-04-27,Zone_B,Sugarcane,27.06,42.4,42.3,2.41,36.09,Harvesting,4,2,Summer,65.71,23.34,6.45,100.0,14.28
2021-04-28,Zone_C,Sugarcane,34.72,35.1,32.2,0.56,21.32,Vegetative,4,2,Summer,54.26,13.18,7.57,100.0,12.04
2021-04-29,Zone_B,Wheat,33.76,37.5,64.5,2.68,33.85,Sowing,4,2,Summer,59.48,22.19,6.27,100.0,12.18
2021-04-30,Zone_B,Sugarcane,32.24,37.1,31.1,1.62,31.44,Vegetative,4,2,Summer,57.21,20.0,6.5,100.0,12.3
2021-05-01,Zone_B,Wheat,32.78,37.7,53.2,2.42,38.15,Sowing,5,2,Summer,59.21,24.58,5.85,100.0,12.11
2021-05-02,Zone_B,Wheat,24.36,37.5,43.0,2.69,22.45,Vegetative,5,2,Summer,58.4,15.35,7.37,100.0,13.49
2021-05-03,Zone_A,Rice,28.15,35.6,52.6,0.95,30.68,Flowering,5,2,Summer,56.03,19.07,6.6,100.0,12.23
2021-05-04,Zone_C,Sugarcane,32.9,39.6,42.5,0.33,37.59,Flowering,5,2,Summer,61.53,22.79,6.3,100.0,12.9
2021-05-05,Zone_B,Rice,22.86,42.3,53.6,0.68,28.2,Harvesting,5,2,Summer,66.13,17.4,7.37,100.0,15.05
2021-05-06,Zone_C,Rice,34.24,41.1,55.5,1.28,29.64,Sowing,5,2,Summer,64.43,18.68,7.1,100.0,13.64
2021-05-07,Zone_A,Sugarcane,23.32,41.7,54.2,2.45,21.41,Sowing,5,2,Summer,65.26,14.56,7.77,100.0,15.03
2021-05-08,Zone_C,Sugarcane,27.02,35.8,34.0,2.58,25.56,Harvesting,5,2,Summer,55.4,17.14,6.91,100.0,12.53
2021-05-09,Zone_C,Cotton,29.2,44.5,53.0,0.02,26.49,Vegetative,5,2,Summer,69.4,15.91,7.71,100.0,15.37
2021-05-10,Zone_A,Wheat,34.01,43.4,39.8,1.53,38.9,Harvesting,5,2,Summer,67.09,24.41,6.36,100.0,13.98
2021-05-11,Zone_B,Cotton,19.89,43.1,31.0,1.25,25.65,Vegetative,5,2,Summer,66.2,16.26,7.54,100.0,15.61
2021-05-12,Zone_C,Wheat,29.92,43.2,44.5,0.67,29.22,Harvesting,5,2,Summer,67.03,18.0,7.31,100.0,14.72
2021-05-13,Zone_D,Wheat,25.42,44.3,45.2,0.36,33.43,Sowing,5,2,Summer,68.71,20.31,7.04,100.0,15.28
2021-05-14,Zone_C,Wheat,20.37,40.4,46.4,1.01,23.24,Sowing,5,2,Summer,62.92,14.65,7.67,100.0,14.83
2021-05-15,Zone_B,Rice,30.53,37.0,54.7,2.83,29.73,Vegetative,5,2,Summer,58.24,19.82,6.6,100.0,12.46
2021-05-16,Zone_D,Rice,26.04,41.2,40.8,0.97,34.77,Sowing,5,2,Summer,63.84,21.54,6.63,100.0,14.09
2021-05-17,Zone_B,Sugarcane,28.22,42.4,41.0,1.56,37.34,Sowing,5,2,Summer,65.65,23.5,6.42,100.0,14.17
2021-05-18,Zone_C,Wheat,21.46,42.4,32.1,2.11,32.53,Sowing,5,2,Summer,65.2,21.0,6.78,100.0,14.89
2021-05-19,Zone_A,Wheat,24.63,40.2,54.0,1.09,33.38,Sowing,5,2,Summer,63.0,20.79,6.7,100.0,13.94
2021-05-20,Zone_B,Wheat,27.35,35.7,49.9,2.92,22.53,Flowering,5,2,Summer,56.04,15.56,7.22,100.0,12.63
2021-05-21,Zone_B,Rice,23.1,38.7,42.2,2.89,38.92,Harvesting,5,2,Summer,60.16,25.38,5.78,100.0,13.15
2021-05-22,Zone_A,Sugarcane,18.97,44.2,54.7,0.76,22.65,Harvesting,5,2,Summer,69.04,14.12,7.95,100.0,16.22
2021-05-23,Zone_C,Rice,34.23,40.8,48.8,1.49,35.49,Flowering,5,2,Summer,63.64,22.34,6.49,100.0,13.25
2021-05-24,Zone_B,Cotton,25.23,40.4,46.4,0.9,25.3,Sowing,5,2,Summer,62.92,15.81,7.49,100.0,14.35
2021-05-25,Zone_C,Cotton,29.68,37.7,47.9,0.85,38.67,Harvesting,5,2,Summer,58.95,23.8,5.96,100.0,12.42
2021-05-26,Zone_C,Cotton,23.22,38.7,52.3,0.11,34.4,Harvesting,5,2,Summer,60.67,20.72,6.58,100.0,13.54
2021-05-27,Zone_C,Sugarcane,22.1,44.0,53.1,1.83,35.08,Harvesting,5,2,Summer,68.66,22.33,6.75,100.0,15.31
2021-05-28,Zone_A,Cotton,23.14,41.7,40.1,1.51,24.38,Vegetative,5,2,Summer,64.56,15.68,7.57,100.0,14.94
2021-05-29,Zone_C,Sugarcane,23.18,42.9,34.9,0.15,28.86,Flowering,5,2,Summer,66.1,17.42,7.36,100.0,15.2
2021-05-30,Zone_C,Rice,25.88,39.5,35.5,0.84,32.36,Vegetative,5,2,Summer,61.02,20.0,6.72,100.0,13.64
2021-05-31,Zone_D,Rice,25.87,41.3,52.4,2.72,35.4,Vegetative,5,2,Summer,64.57,23.14,6.42,100.0,14.03
2021-06-01,Zone_D,Sugarcane,62.21,27.0,71.1,26.74,5.4,Flowering,6,2,Monsoon,44.06,21.96,5.02,100.0,6.13
2021-06-02,Zone_D,Rice,63.41,34.1,70.0,23.95,0.5,Harvesting,6,2,Monsoon,54.65,17.06,6.88,100.0,9.1
2021-06-03,Zone_B,Rice,56.59,32.6,78.8,23.6,0.63,Vegetative,6,2,Monsoon,52.84,16.9,6.8,100.0,9.15
2021-06-04,Zone_B,Sugarcane,78.87,31.8,76.0,22.37,1.87,Harvesting,6,2,Monsoon,51.5,16.78,6.74,100.0,7.1
2021-06-05,Zone_D,Cotton,67.51,28.0,71.6,25.05,0.32,Vegetative,6,2,Monsoon,45.58,17.73,6.11,100.0,6.55
2021-06-06,Zone_A,Sugarcane,61.87,26.8,74.5,13.17,7.43,Harvesting,6,2,Monsoon,43.92,13.68,6.89,100.0,7.04
2021-06-07,Zone_A,Wheat,61.95,32.6,73.1,27.62,7.23,Sowing,6,2,Monsoon,52.56,23.67,5.5,100.0,8.07
2021-06-08,Zone_D,Rice,82.04,29.7,92.9,27.44,1.36,Sowing,6,2,Monsoon,49.2,20.02,5.93,100.0,5.81
2021-06-09,Zone_B,Sugarcane,80.02,27.3,73.5,10.58,8.36,Sowing,6,2,Monsoon,44.62,12.42,7.22,100.0,5.9
2021-06-10,Zone_B,Rice,71.61,31.2,83.4,26.52,1.55,Flowering,6,2,Monsoon,50.97,19.49,6.18,100.0,7.22
2021-06-11,Zone_A,Cotton,73.48,25.4,84.8,12.58,3.01,Sowing,6,2,Monsoon,42.34,10.61,7.49,100.0,5.99
2021-06-12,Zone_C,Rice,69.23,28.3,83.6,16.7,2.49,Vegetative,6,2,Monsoon,46.63,13.18,7.17,100.0,7.04
2021-06-13,Zone_A,Sugarcane,66.75,29.7,72.5,24.87,3.72,Harvesting,6,2,Monsoon,48.18,19.64,5.92,100.0,7.03
2021-06-14,Zone_C,Cotton,82.46,26.5,78.0,13.22,2.55,Harvesting,6,2,Monsoon,43.65,10.78,7.53,100.0,5.62
2021-06-15,Zone_B,Cotton,58.77,34.8,71.3,26.36,4.89,Harvesting,6,2,Monsoon,55.76,21.39,6.16,100.0,9.32
2021-06-16,Zone_B,Cotton,67.55,27.1,79.9,26.64,4.07,Harvesting,6,2,Monsoon,44.64,21.09,5.28,100.0,5.87
2021-06-17,Zone_D,Wheat,65.34,26.3,74.7,20.15,9.87,Vegetative,6,2,Monsoon,43.18,20.03,5.36,100.0,5.84
2021-06-18,Zone_B,Sugarcane,69.94,27.0,84.0,10.13,0.56,Harvesting,6,2,Monsoon,44.7,7.43,8.34,100.0,7.17
2021-06-19,Zone_C,Sugarcane,68.73,32.7,87.3,15.74,1.42,Vegetative,6,2,Monsoon,53.42,11.87,7.78,100.0,8.7
2021-06-20,Zone_A,Cotton,70.57,29.3,83.3,22.34,0.53,Vegetative,6,2,Monsoon,48.12,15.96,6.68,100.0,6.98
2021-06-21,Zone_D,Rice,59.2,30.7,80.9,29.62,6.26,Harvesting,6,2,Monsoon,50.1,24.49,5.11,100.0,7.53
2021-06-22,Zone_C,Cotton,70.39,25.2,79.7,22.64,0.55,Harvesting,6,2,Monsoon,41.78,16.18,6.13,100.0,5.49
2021-06-23,Zone_A,Wheat,62.27,25.3,91.0,15.2,8.36,Harvesting,6,2,Monsoon,42.5,15.66,6.32,100.0,6.27
2021-06-24,Zone_A,Cotton,60.53,29.5,75.5,22.68,5.12,Vegetative,6,2,Monsoon,48.02,18.95,6.05,100.0,7.53
2021-06-25,Zone_A,Sugarcane,56.95,33.2,88.4,20.8,5.27,Flowering,6,2,Monsoon,54.22,17.72,6.73,100.0,9.27
2021-06-26,Zone_B,Cotton,77.88,33.9,88.9,25.6,5.62,Vegetative,6,2,Monsoon,55.29,21.29,6.15,100.0,7.51
2021-06-27,Zone_A,Rice,67.82,25.9,80.5,12.14,1.71,Flowering,6,2,Monsoon,42.87,9.52,7.78,100.0,6.73
2021-06-28,Zone_B,Sugarcane,73.8,30.4,77.4,25.22,1.98,Harvesting,6,2,Monsoon,49.47,18.84,6.19,100.0,6.81
2021-06-29,Zone_A,Rice,76.83,34.1,81.8,20.83,3.19,Vegetative,6,2,Monsoon,55.24,16.49,7.01,100.0,8.09
2021-06-30,Zone_A,Cotton,75.38,28.9,72.3,29.26,5.93,Harvesting,6,2,Monsoon,46.96,24.04,4.88,100.0,5.58
2021-07-01,Zone_B,Sugarcane,69.12,33.3,71.1,16.84,2.1,Flowering,7,3,Monsoon,53.5,13.05,7.56,100.0,8.74
2021-07-02,Zone_B,Wheat,66.64,26.3,72.8,22.65,1.16,Flowering,7,3,Monsoon,43.09,16.55,6.16,100.0,6.14
2021-07-03,Zone_C,Sugarcane,66.28,34.4,74.7,28.64,9.7,Vegetative,7,3,Monsoon,55.33,25.87,5.32,100.0,8.18
2021-07-04,Zone_A,Rice,74.2,32.5,82.6,12.05,0.22,Vegetative,7,3,Monsoon,52.88,8.57,8.38,100.0,8.5
2021-07-05,Zone_B,Sugarcane,69.84,34.4,91.2,28.74,8.03,Vegetative,7,3,Monsoon,56.16,24.94,5.56,100.0,8.01
2021-07-06,Zone_C,Wheat,80.47,31.8,75.9,23.76,7.88,Vegetative,7,3,Monsoon,51.5,21.36,5.85,100.0,6.53
2021-07-07,Zone_C,Wheat,81.24,28.6,93.4,11.36,2.97,Sowing,7,3,Monsoon,47.57,9.73,7.95,100.0,6.56
2021-07-08,Zone_B,Wheat,60.12,34.4,93.9,16.02,1.36,Sowing,7,3,Monsoon,56.29,12.03,7.86,100.0,9.94
2021-07-09,Zone_A,Wheat,59.09,27.8,94.0,24.16,1.46,Harvesting,7,3,Monsoon,46.4,17.79,6.17,100.0,7.2
2021-07-10,Zone_C,Rice,73.91,28.3,90.9,11.35,6.97,Flowering,7,3,Monsoon,47.0,12.13,7.42,100.0,6.79
